-2.32,6.96,-0.06,-0.12,0.87,-0.4,-10.02,-9.58,31.07,1699018250575
-1.34,6.77,0.79,-0.12,0.88,-0.39,-10.02,-9.58,31.07,1699018250576
-1.04,7.02,1.22,-0.13,0.89,-0.39,-10.02,-9.58,31.07,1699018250576
-0.67,7.2,0.85,-0.14,0.89,-0.38,-11.12,-9.29,31.42,1699018250576
-0.31,6.84,0.49,-0.14,0.89,-0.37,-11.12,-9.29,31.42,1699018250577
-0.49,6.16,0.24,-0.15,0.9,-0.36,-11.12,-9.29,31.42,1699018250577
-0.12,5.68,0.18,-0.16,0.9,-0.36,-11.12,-9.29,31.42,1699018250578
-0.24,5.74,0.0,-0.16,0.91,-0.35,-11.12,-9.29,31.42,1699018250578
-0.67,5.37,0.18,-0.16,0.9,-0.34,-11.12,-9.29,31.42,1699018250579
-1.4,4.7,0.67,-0.16,0.91,-0.34,-10.5,-8.69,31.05,1699018250579
-2.44,3.6,0.43,-0.17,0.9,-0.34,-10.5,-8.69,31.05,1699018250580
-2.81,2.81,0.24,-0.17,0.9,-0.35,-10.5,-8.69,31.05,1699018250580
-3.05,2.26,0.06,-0.17,0.89,-0.35,-10.5,-8.69,31.05,1699018250580
-2.93,1.34,0.37,-0.17,0.9,-0.35,-10.5,-8.69,31.05,1699018250581
-2.81,0.49,0.37,-0.18,0.9,-0.35,-10.5,-8.69,31.05,1699018250581
-2.87,0.06,-0.06,-0.18,0.9,-0.35,-10.71,-9.34,31.07,1699018250582
-2.93,-0.61,-1.1,-0.17,0.89,-0.36,-10.71,-9.34,31.07,1699018250582
-2.81,-1.53,-1.65,-0.15,0.89,-0.36,-10.71,-9.34,31.07,1699018250583
-2.81,-2.38,-1.77,-0.14,0.89,-0.37,-10.71,-9.34,31.07,1699018250583
-2.69,-3.42,-1.4,-0.13,0.89,-0.37,-10.71,-9.34,31.07,1699018250584
-2.56,-4.21,-1.1,-0.12,0.89,-0.37,-10.71,-9.34,31.07,1699018250584
-1.4,-4.94,-0.73,-0.11,0.9,-0.37,-10.49,-9.36,30.76,1699018250585
-1.4,-4.82,-0.61,-0.1,0.9,-0.37,-10.49,-9.36,30.76,1699018250585
-1.46,-4.52,-0.55,-0.09,0.91,-0.37,-10.49,-9.36,30.76,1699018250586
-1.22,-4.15,-0.79,-0.08,0.91,-0.37,-10.49,-9.36,30.76,1699018250586
-1.22,-3.85,-0.85,-0.08,0.91,-0.37,-10.49,-9.36,30.76,1699018250587
-1.83,-2.99,-0.98,-0.07,0.91,-0.38,-10.49,-9.36,30.76,1699018250587
-2.44,-2.26,-1.04,-0.06,0.91,-0.37,-10.8,-9.78,31.76,1699018250588
-2.32,-1.34,-0.67,-0.06,0.91,-0.37,-10.8,-9.78,31.76,1699018250588
-2.44,-0.49,-0.31,-0.06,0.91,-0.37,-10.8,-9.78,31.76,1699018250588
-2.62,0.31,-0.43,-0.07,0.91,-0.37,-10.8,-9.78,31.76,1699018250589
-3.17,1.59,-0.43,-0.07,0.91,-0.37,-10.8,-9.78,31.76,1699018250589
-3.42,2.5,-0.37,-0.08,0.91,-0.37,-9.89,-9.44,31.93,1699018250590
-3.17,2.5,-0.43,-0.08,0.9,-0.38,-9.89,-9.44,31.93,1699018250590
-3.23,2.93,-0.31,-0.08,0.9,-0.38,-9.89,-9.44,31.93,1699018250591
-3.11,3.66,-0.18,-0.09,0.9,-0.38,-9.89,-9.44,31.93,1699018250591
-3.3,4.76,-0.43,-0.1,0.9,-0.38,-9.89,-9.44,31.93,1699018250592
-3.48,5.92,-0.61,-0.11,0.89,-0.38,-9.89,-9.44,31.93,1699018250592
-3.48,6.41,-0.85,-0.11,0.89,-0.38,-10.06,-9.16,32.3,1699018250593
-3.11,5.92,-0.85,-0.12,0.89,-0.38,-10.06,-9.16,32.3,1699018250593
-2.81,5.37,-0.24,-0.12,0.89,-0.38,-10.06,-9.16,32.3,1699018250593
-2.44,4.33,0.61,-0.13,0.89,-0.37,-10.06,-9.16,32.3,1699018250594
-2.01,3.48,1.1,-0.13,0.9,-0.36,-10.06,-9.16,32.3,1699018250594
-1.95,2.62,1.59,-0.14,0.9,-0.37,-10.06,-9.16,32.3,1699018250595
-2.38,2.26,1.83,-0.15,0.9,-0.37,-10.46,-9.16,30.71,1699018250595
-2.62,2.26,0.92,-0.15,0.9,-0.37,-10.46,-9.16,30.71,1699018250596
-3.23,2.08,-0.06,-0.15,0.89,-0.37,-10.46,-9.16,30.71,1699018250596
-3.3,1.95,-0.55,-0.15,0.89,-0.37,-10.46,-9.16,30.71,1699018250597
-3.05,1.46,-1.04,-0.14,0.89,-0.37,-10.46,-9.16,30.71,1699018250597
-2.75,0.85,-1.28,-0.13,0.89,-0.37,-10.46,-9.16,30.71,1699018250598
